::PKHierachicalFile,3,en-US,3/21/2018 11:17:03 PM,{M/d/yyyy`h:mm:ss tt`.`+`-`Infinity`-Infinity`NaN`}
:RasterScan,4,[CLASS NAMES],PhotonKinetics.S14.HardwareAndAlgorithmLibrary.RasterScan,[ASSEMBLY NAMES],PhotonKinetics.S14.HardwareAndAlgorithmLibrary, Version=1.1.6.0, Culture=neutral, PublicKeyToken=null
,:FiberInformation,2,[CLASS NAMES],PhotonKinetics.S14.HardwareAndAlgorithmLibrary.FiberInformation,[ASSEMBLY NAMES],PhotonKinetics.S14.HardwareAndAlgorithmLibrary, Version=1.1.6.0, Culture=neutral, PublicKeyToken=null
,,FiberID,7299 p2080 fibre
,,Operator ID,mga
,,Comments,
,,Cladding Diameter,125
,,Core Diameter,10
,:ConfigurationData,3,[CLASS NAMES],PhotonKinetics.S14.HardwareAndAlgorithmLibrary.ConfigurationData,[ASSEMBLY NAMES],PhotonKinetics.S14.HardwareAndAlgorithmLibrary, Version=1.1.6.0, Culture=neutral, PublicKeyToken=null
,,Time of Measurement,10/22/2014 2:25:30 PM
,,Focus Reset Position,1693
,,Focus Step Hysteresis,0
,,Focus Step Increment,0.222
,,Focus Step Time,0.002
,,Instrument Batch Number,3
,,Instrument Hardware Version,
,,Instrument ID,135
,,RIP Offset,55064.9312161111
,,RIP Scale,-1.49444254118904E-06
,,X Axis Lag,0.0108
,,X Axis Map,-2
,,X Axis Max Distance,7500
,,X Axis Time Constant,0.02
,,X Axis Step Size,0.0980322320042871
,,Y Axis Lag,0.0271
,,Y Axis Map,1
,,Y Axis Max Distance,7500
,,Y Axis Time Constant,0.06
,,Y Axis Step Size,0.0985499699150271
,,Raster Scan Start WaitTime (msec),250
,,Line Scan Start WaitTime (msec),400
,,Slow X Adjust,-0.671360248757324
,,Slow Y Adjust,-5.3897131978442
,,Oil Level Offset,44980.6569364803
,Time of Measurement,3/21/2018 7:12:00 PM
,Scanned Distance,150
,Angle,0
,Axial Scan Increment,0.490161160021435
,Raster Increment,0.492749849575135
,Num Scan Lines,305
,Num Points per Line,307
,Scan Speed,slow
,Scan Direction,Positive
,Cladding Index Set To Zero,False
,Table Center X,90.8758790679741
,Table Center Y,-105.251367869249
,Number of MFD Results,0
,:PKImage,1.4,[CLASS NAMES],PhotonKinetics.Common.HierarchicalFile.PKImage,[ASSEMBLY NAMES],PK.HierarchicalFile, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null
,,Record Date (UTC),3/21/2018 11:12:00 PM
,,MaximumSignal,0.0151744671165943
,,MinimumSignal,0
,,NumberOfRows,305
,,NumberOfColumns,307
,,XMagnificationInMeterPerPixel,9.80322312216231E-08
,,YMagnificationInMeterPerPixel,9.85499681860347E-08
,,NormalizedVideoNoise,0
,,ImageData,305
,,307,0.874826788902283,0.873940408229828,0.869311690330505,0.870001077651978,0.868425309658051,0.868917763233185,0.868523836135864,0.868425309658051,0.867637455463409,0.868720769882202,0.870001077651978,0.869114696979523,0.868425309658051,0.869508624076843,0.870001077651978,0.868425309658051,0.869508624076843,0.868720769882202,0.869114696979523,0.869311690330505,0.871675312519073,0.874728322029114,0.873645007610321,0.873251020908356,0.871872246265411,0.874137401580811,0.873841941356659,0.875023782253265,0.873152554035187,0.871281385421753,0.872463166713715,0.866357147693634,0.87374347448349,0.874728322029114,0.875516176223755,0.875220715999603,0.873940408229828,0.873152554035187,0.872758626937866,0.872364699840546,0.872463166713715,0.871872246265411,0.872857093811035,0.874038934707642,0.874038934707642,0.873251020908356,0.872266173362732,0.872463166713715,0.873448014259338,0.873940408229828,0.872660160064697,0.873940408229828,0.874235868453979,0.874826788902283,0.873546481132507,0.8746297955513,0.874728322029114,0.875023782253265,0.874728322029114,0.873841941356659,0.873251020908356,0.872660160064697,0.872857093811035,0.876599490642548,0.877387344837189,0.877190411090851,0.877781331539154,0.877879798412323,0.878175258636475,0.876501023769379,0.876501023769379,0.877879798412323,0.876599490642548,0.877387344837189,0.877091944217682,0.87679648399353,0.876304030418396,0.876304030418396,0.875614643096924,0.875220715999603,0.876008570194244,0.876993417739868,0.877091944217682,0.875220715999603,0.876599490642548,0.877190411090851,0.877387344837189,0.877879798412323,0.878175258636475,0.878667652606964,0.879750967025757,0.879750967025757,0.880538880825043,0.88034188747406,0.879554033279419,0.880243420600891,0.880735814571381,0.88034188747406,0.88034188747406,0.880243420600891,0.879455506801605,0.880144894123077,0.880144894123077,0.878963112831116,0.879750967025757,0.880144894123077,0.878766119480133,0.878864645957947,0.879455506801605,0.880440354347229,0.881326735019684,0.880538880825043,0.881622195243835,0.881129741668701,0.881720662117004,0.882114589214325,0.881523728370667,0.882607042789459,0.881326735019684,0.881031274795532,0.881917655467987,0.882705509662628,0.882607042789459,0.883296430110931,0.882705509662628,0.883690357208252,0.882607042789459,0.881720662117004,0.882902503013611,0.883296430110931,0.884379744529724,0.884970664978027,0.884281277656555,0.885758519172668,0.885266065597534,0.885266065597534,0.885856986045837,0.885266065597534,0.885856986045837,0.88654637336731,0.88605397939682,0.887432754039764,0.889008462429047,0.889796376228333,0.890485763549805,0.890485763549805,0.887629687786102,0.886841833591461,0.888909995555878,0.887531220912933,0.88910698890686,0.889205455780029,0.888909995555878,0.888023674488068,0.888909995555878,0.887925148010254,0.888909995555878,0.888909995555878,0.889402449131012,0.889697849750519,0.889303922653198,0.889697849750519,0.889205455780029,0.889697849750519,0.889205455780029,0.889008462429047,0.889008462429047,0.888909995555878,0.888023674488068,0.88910698890686,0.886841833591461,0.887629687786102,0.888417601585388,0.888023674488068,0.888220608234406,0.888023674488068,0.888023674488068,0.888220608234406,0.888909995555878,0.887629687786102,0.887432754039764,0.888220608234406,0.887629687786102,0.887334227561951,0.885266065597534,0.885266065597534,0.886447906494141,0.886841833591461,0.887629687786102,0.887629687786102,0.887334227561951,0.887925148010254,0.888909995555878,0.889205455780029,0.889205455780029,0.889894843101501,0.889205455780029,0.887826681137085,0.885758519172668,0.887629687786102,0.888220608234406,0.889008462429047,0.889796376228333,0.889894843101501,0.889205455780029,0.889205455780029,0.889205455780029,0.887629687786102,0.886250913143158,0.887334227561951,0.887629687786102,0.887334227561951,0.88605397939682,0.885955452919006,0.884970664978027,0.885758519172668,0.884281277656555,0.884478211402893,0.884182751178741,0.885266065597534,0.885758519172668,0.885856986045837,0.885856986045837,0.88605397939682,0.887038826942444,0.88605397939682,0.887432754039764,0.887334227561951,0.886447906494141,0.887925148010254,0.88959938287735,0.887334227561951,0.88910698890686,0.889894843101501,0.886841833591461,0.887334227561951,0.887531220912933,0.887334227561951,0.886152446269989,0.887629687786102,0.885758519172668,0.885856986045837,0.886250913143158,0.885266065597534,0.886644840240479,0.885758519172668,0.88605397939682,0.882902503013611,0.884478211402893,0.8833948969841,0.885758519172668,0.884182751178741,0.885266065597534,0.885856986045837,0.887629687786102,0.887629687786102,0.889205455780029,0.890584230422974,0.892356932163239,0.894523561000824,0.894523561000824,0.89531147480011,0.895508408546448,0.896296322345734,0.897084176540375,0.896887183189392,0.895508408546448,0.896690249443054,0.897084176540375,0.896887183189392,0.897379636764526,0.896788716316223,0.896296322345734,0.896000862121582,0.896296322345734,0.896099328994751,0.896985709667206,0.896887183189392,0.897478103637695,0.897675096988678,0.897675096988678,0.897675096988678,0.897675096988678,0.897478103637695,0.897675096988678,0.896887183189392,0.896788716316223,0.896788716316223,0.896000862121582,0.896099328994751,0.895213007926941,0.895213007926941,0.895508408546448,0.895508408546448,0.896000862121582,0.894523561000824,0.895508408546448,0.896887183189392,0.897478103637695,0.897675096988678,0.898659944534302,0.899152338504791,0.899447798728943,0.899940192699432,0.899841725826263,0.900432646274567,0.901023507118225
